"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Dec 11 06:49:39 GMT 2023","Mon Dec 11 06:49:48 GMT 2023","8892","","Blog page","","","","should allow a user to sort articles",""
"passed","Mon Dec 11 06:57:05 GMT 2023","Mon Dec 11 06:57:07 GMT 2023","2113","","Telnyx Vs TwilioPage page","","","","""before each"" hook for Telnyx Vs TwilioPage page",""
"passed","Mon Dec 11 06:51:49 GMT 2023","Mon Dec 11 06:51:49 GMT 2023","775","","Release Notes page","","","","""before each"" hook for Release Notes page",""
"broken","Mon Dec 11 06:58:58 GMT 2023","Mon Dec 11 06:59:07 GMT 2023","9106","","Global coverage page","","","","should NOT allow a user to submit a form with invalid data",""
"passed","Mon Dec 11 06:59:45 GMT 2023","Mon Dec 11 06:59:48 GMT 2023","3320","","Numbers Pricing page","","","","""before each"" hook for Numbers Pricing page",""
"broken","Mon Dec 11 06:51:00 GMT 2023","Mon Dec 11 06:51:11 GMT 2023","11367","","Microsoft Teams page","","","","should allow a user to submit a form with valid data",""
"broken","Mon Dec 11 06:51:23 GMT 2023","Mon Dec 11 06:51:34 GMT 2023","10986","","Numbers Pricing page","","","","should allow a user to use filters",""
"passed","Mon Dec 11 06:54:30 GMT 2023","Mon Dec 11 06:54:32 GMT 2023","2620","","Customer Stories page","","","","""before each"" hook for Customer Stories page",""
"passed","Mon Dec 11 06:56:21 GMT 2023","Mon Dec 11 06:56:24 GMT 2023","2771","","Solutions page","","","","""before each"" hook for Solutions page",""
"broken","Mon Dec 11 06:49:57 GMT 2023","Mon Dec 11 06:50:06 GMT 2023","8801","","Blog page","","","","should NOT find results for an invalid sarch value",""
"broken","Mon Dec 11 06:52:15 GMT 2023","Mon Dec 11 06:52:26 GMT 2023","11257","","Support Center page","","","","should find results for a valid sarch value",""
"broken","Mon Dec 11 06:58:05 GMT 2023","Mon Dec 11 06:58:14 GMT 2023","9143","","Blog page","","","","should allow a user to sort articles",""
"broken","Mon Dec 11 06:50:23 GMT 2023","Mon Dec 11 06:50:34 GMT 2023","11129","","Global coverage page","","","","should allow a user to submit a form with valid data",""
"passed","Mon Dec 11 06:55:44 GMT 2023","Mon Dec 11 06:55:46 GMT 2023","2124","","Numbers Pricing page","","","","""before each"" hook for Numbers Pricing page",""
"broken","Mon Dec 11 06:50:09 GMT 2023","Mon Dec 11 06:50:20 GMT 2023","11339","","Customer Stories page","","","","should open an article",""
"passed","Mon Dec 11 06:58:58 GMT 2023","Mon Dec 11 06:58:59 GMT 2023","831","","Global coverage page","","","","""before each"" hook for Global coverage page",""
"broken","Mon Dec 11 06:50:46 GMT 2023","Mon Dec 11 06:50:57 GMT 2023","10433","","Integrations page","","","","should allow a user to use filters",""
"broken","Mon Dec 11 06:58:47 GMT 2023","Mon Dec 11 06:58:58 GMT 2023","11253","","Global coverage page","","","","should allow a user to submit a form with valid data",""
"broken","Mon Dec 11 06:52:40 GMT 2023","Mon Dec 11 06:52:53 GMT 2023","12479","","Telnyx Vs TwilioPage page","","","","should allow a user to submit a form with valid data",""
"broken","Mon Dec 11 07:00:10 GMT 2023","Mon Dec 11 07:00:19 GMT 2023","9393","","Release Notes page","","","","should display pagination",""
"passed","Mon Dec 11 07:00:10 GMT 2023","Mon Dec 11 07:00:11 GMT 2023","902","","Release Notes page","","","","""before each"" hook for Release Notes page",""
"broken","Mon Dec 11 06:56:35 GMT 2023","Mon Dec 11 06:56:46 GMT 2023","10640","","Support Center page","","","","should find results for a valid sarch value",""
"broken","Mon Dec 11 06:57:05 GMT 2023","Mon Dec 11 06:57:15 GMT 2023","10076","","Telnyx Vs TwilioPage page","","","","should allow a user to submit a form with valid data",""
"passed","Mon Dec 11 06:56:08 GMT 2023","Mon Dec 11 06:56:09 GMT 2023","1175","","Release Notes page","","","","""before each"" hook for Release Notes page",""
"broken","Mon Dec 11 06:59:58 GMT 2023","Mon Dec 11 07:00:10 GMT 2023","11473","","Release Notes page","","","","should allow a user to filter notes",""
"passed","Mon Dec 11 06:50:34 GMT 2023","Mon Dec 11 06:50:35 GMT 2023","801","","Global coverage page","","","","""before each"" hook for Global coverage page",""
"broken","Mon Dec 11 06:54:17 GMT 2023","Mon Dec 11 06:54:26 GMT 2023","9144","","Blog page","","","","should NOT find results for an invalid sarch value",""
"broken","Mon Dec 11 06:53:21 GMT 2023","Mon Dec 11 06:53:31 GMT 2023","9220","","IoT Sim Cards page","","","","should NOT allow a user to submit a form with invalid data",""
"passed","Mon Dec 11 06:54:17 GMT 2023","Mon Dec 11 06:54:18 GMT 2023","1172","","Blog page","","","","""before each"" hook for Blog page",""
"broken","Mon Dec 11 06:57:54 GMT 2023","Mon Dec 11 06:58:05 GMT 2023","11066","","Blog page","","","","should display pagination",""
"passed","Mon Dec 11 06:57:29 GMT 2023","Mon Dec 11 06:57:30 GMT 2023","995","","IoT Sim Cards page","","","","""before each"" hook for IoT Sim Cards page",""
"passed","Mon Dec 11 06:58:34 GMT 2023","Mon Dec 11 06:58:37 GMT 2023","2791","","Customer Stories page","","","","""before each"" hook for Customer Stories page",""
"broken","Mon Dec 11 06:54:30 GMT 2023","Mon Dec 11 06:54:40 GMT 2023","10594","","Customer Stories page","","","","should open an article",""
"passed","Mon Dec 11 07:00:21 GMT 2023","Mon Dec 11 07:00:24 GMT 2023","3023","","Solutions page","","","","""before each"" hook for Solutions page",""
"broken","Mon Dec 11 06:57:41 GMT 2023","Mon Dec 11 06:57:52 GMT 2023","11451","","Blog article page","","","","should display main elements",""
"passed","Mon Dec 11 06:56:48 GMT 2023","Mon Dec 11 06:56:50 GMT 2023","2330","","Support Center page","","","","""before each"" hook for Support Center page",""
"passed","Mon Dec 11 06:56:58 GMT 2023","Mon Dec 11 06:57:00 GMT 2023","1995","","Support Center page","","","","""after each"" hook for Support Center page",""
"broken","Mon Dec 11 06:59:22 GMT 2023","Mon Dec 11 06:59:34 GMT 2023","11394","","Microsoft Teams page","","","","should allow a user to submit a form with valid data",""
"broken","Mon Dec 11 06:59:45 GMT 2023","Mon Dec 11 06:59:56 GMT 2023","11497","","Numbers Pricing page","","","","should allow a user to use filters",""
"broken","Mon Dec 11 06:51:37 GMT 2023","Mon Dec 11 06:51:49 GMT 2023","11308","","Release Notes page","","","","should allow a user to filter notes",""
"passed","Mon Dec 11 06:51:23 GMT 2023","Mon Dec 11 06:51:26 GMT 2023","2926","","Numbers Pricing page","","","","""before each"" hook for Numbers Pricing page",""
"broken","Mon Dec 11 06:52:26 GMT 2023","Mon Dec 11 06:52:37 GMT 2023","11023","","Support Center page","","","","should NOT find results for an invalid sarch value",""
"passed","Mon Dec 11 06:54:54 GMT 2023","Mon Dec 11 06:54:55 GMT 2023","1161","","Global coverage page","","","","""before each"" hook for Global coverage page",""
"broken","Mon Dec 11 06:59:09 GMT 2023","Mon Dec 11 06:59:21 GMT 2023","11418","","Integrations page","","","","should allow a user to use filters",""
"broken","Mon Dec 11 06:56:08 GMT 2023","Mon Dec 11 06:56:17 GMT 2023","9156","","Release Notes page","","","","should display pagination",""
"broken","Mon Dec 11 06:51:49 GMT 2023","Mon Dec 11 06:51:58 GMT 2023","9012","","Release Notes page","","","","should display pagination",""
"passed","Mon Dec 11 06:52:01 GMT 2023","Mon Dec 11 06:52:04 GMT 2023","2980","","Solutions page","","","","""before each"" hook for Solutions page",""
"broken","Mon Dec 11 06:54:54 GMT 2023","Mon Dec 11 06:55:03 GMT 2023","9104","","Global coverage page","","","","should NOT allow a user to submit a form with invalid data",""
"broken","Mon Dec 11 06:51:11 GMT 2023","Mon Dec 11 06:51:20 GMT 2023","9206","","Microsoft Teams page","","","","should NOT allow a user to submit a form with invalid data",""
"broken","Mon Dec 11 06:56:21 GMT 2023","Mon Dec 11 06:56:32 GMT 2023","10746","","Solutions page","","","","should allow a user to filter departments",""
"passed","Mon Dec 11 06:51:11 GMT 2023","Mon Dec 11 06:51:12 GMT 2023","1038","","Microsoft Teams page","","","","""before each"" hook for Microsoft Teams page",""
"broken","Mon Dec 11 06:48:51 GMT 2023","Mon Dec 11 06:49:03 GMT 2023","11474","","IoT Sim Cards page","","","","should allow a user to submit a form with valid data",""
"passed","Mon Dec 11 06:55:31 GMT 2023","Mon Dec 11 06:55:33 GMT 2023","1180","","Microsoft Teams page","","","","""before each"" hook for Microsoft Teams page",""
"passed","Mon Dec 11 06:59:34 GMT 2023","Mon Dec 11 06:59:35 GMT 2023","861","","Microsoft Teams page","","","","""before each"" hook for Microsoft Teams page",""
"passed","Mon Dec 11 06:58:23 GMT 2023","Mon Dec 11 06:58:24 GMT 2023","838","","Blog page","","","","""before each"" hook for Blog page",""
"passed","Mon Dec 11 06:49:03 GMT 2023","Mon Dec 11 06:49:03 GMT 2023","808","","IoT Sim Cards page","","","","""before each"" hook for IoT Sim Cards page",""
"broken","Mon Dec 11 07:00:45 GMT 2023","Mon Dec 11 07:00:57 GMT 2023","11214","","Support Center page","","","","should NOT find results for an invalid sarch value",""
"passed","Mon Dec 11 06:49:15 GMT 2023","Mon Dec 11 06:49:17 GMT 2023","2607","","Blog article page","","","","""before each"" hook for Blog article page",""
"broken","Mon Dec 11 06:50:34 GMT 2023","Mon Dec 11 06:50:43 GMT 2023","8944","","Global coverage page","","","","should NOT allow a user to submit a form with invalid data",""
