"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 23 13:14:27 GMT 2023","Thu Nov 23 13:14:30 GMT 2023","3059","","Blog article page","","","","""before each"" hook for Blog article page",""
"broken","Thu Nov 23 13:14:40 GMT 2023","Thu Nov 23 13:14:51 GMT 2023","10786","","Blog page","","","","should allow a user to sort articles",""
"passed","Thu Nov 23 13:14:41 GMT 2023","Thu Nov 23 13:14:41 GMT 2023","603","","Global coverage page","","","","""before each"" hook for Global coverage page",""
"broken","Thu Nov 23 13:14:27 GMT 2023","Thu Nov 23 13:14:40 GMT 2023","13133","","Blog page","","","","should display pagination",""
"broken","Thu Nov 23 13:14:41 GMT 2023","Thu Nov 23 13:14:51 GMT 2023","10911","","Global coverage page","","","","12. should NOT allow a user to submit a form with invalid data",""
"passed","Thu Nov 23 13:14:40 GMT 2023","Thu Nov 23 13:14:41 GMT 2023","459","","Microsoft Teams page","","","","""before each"" hook for Microsoft Teams page",""
"broken","Thu Nov 23 13:14:27 GMT 2023","Thu Nov 23 13:14:40 GMT 2023","13132","","Blog article page","","","","should display main elements",""
"broken","Thu Nov 23 13:14:28 GMT 2023","Thu Nov 23 13:14:41 GMT 2023","12739","","Global coverage page","","","","11. should allow a user to submit a form with valid data",""
"passed","Thu Nov 23 13:14:40 GMT 2023","Thu Nov 23 13:14:41 GMT 2023","365","","Blog page","","","","""before each"" hook for Blog page",""
"broken","Thu Nov 23 13:14:40 GMT 2023","Thu Nov 23 13:14:51 GMT 2023","10823","","Microsoft Teams page","","","","should NOT allow a user to submit a form with invalid data",""
"broken","Thu Nov 23 13:14:28 GMT 2023","Thu Nov 23 13:14:40 GMT 2023","12682","","Microsoft Teams page","","","","should allow a user to submit a form with valid data",""
