"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Nov 23 10:59:00 GMT 2023","Thu Nov 23 10:59:00 GMT 2023","1","","Blog page","","","","should display pagination",""
"passed","Thu Nov 23 10:59:12 GMT 2023","Thu Nov 23 10:59:12 GMT 2023","286","","Microsoft Teams page","","","","""before each"" hook for Microsoft Teams page",""
"broken","Thu Nov 23 10:59:01 GMT 2023","Thu Nov 23 10:59:12 GMT 2023","11409","","Microsoft Teams page","","","","should allow a user to submit a form with valid data",""
"broken","Thu Nov 23 10:59:12 GMT 2023","Thu Nov 23 10:59:22 GMT 2023","10458","","Microsoft Teams page","","","","should NOT allow a user to submit a form with invalid data",""
"skipped","Thu Nov 23 10:59:00 GMT 2023","Thu Nov 23 10:59:00 GMT 2023","1","","Blog article page","","","","should display main elements",""
"skipped","Thu Nov 23 10:59:00 GMT 2023","Thu Nov 23 10:59:00 GMT 2023","0","","Blog page","","","","should allow a user to sort articles",""
