"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Nov 22 20:20:02 GMT 2023","Wed Nov 22 20:20:12 GMT 2023","10566","","Blog page","","","","should allow a user to sort articles",""
"broken","Wed Nov 22 20:19:50 GMT 2023","Wed Nov 22 20:20:02 GMT 2023","12598","","Blog article page","","","","should display main elements",""
"broken","Wed Nov 22 20:19:49 GMT 2023","Wed Nov 22 20:20:02 GMT 2023","12594","","Blog page","","","","should display pagination",""
"passed","Wed Nov 22 20:20:02 GMT 2023","Wed Nov 22 20:20:02 GMT 2023","316","","Blog page","","","","""before each"" hook for Blog page",""
"passed","Wed Nov 22 20:20:03 GMT 2023","Wed Nov 22 20:20:03 GMT 2023","319","","Microsoft Teams page","","","","""before each"" hook for Microsoft Teams page",""
"broken","Wed Nov 22 20:19:50 GMT 2023","Wed Nov 22 20:20:03 GMT 2023","12664","","Microsoft Teams page","","","","should allow a user to submit a form with valid data",""
"broken","Wed Nov 22 20:20:03 GMT 2023","Wed Nov 22 20:20:13 GMT 2023","10568","","Microsoft Teams page","","","","should NOT allow a user to submit a form with invalid data",""
"passed","Wed Nov 22 20:19:50 GMT 2023","Wed Nov 22 20:19:52 GMT 2023","2535","","Blog article page","","","","""before each"" hook for Blog article page",""
