"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Nov 23 20:31:53 GMT 2023","Thu Nov 23 20:31:53 GMT 2023","0","","Global coverage page","","","","12. should NOT allow a user to submit a form with invalid data",""
"broken","Thu Nov 23 20:31:53 GMT 2023","Thu Nov 23 20:32:06 GMT 2023","12744","","Integrations page","","","","should allow a user to use filters",""
"skipped","Thu Nov 23 20:31:53 GMT 2023","Thu Nov 23 20:31:53 GMT 2023","2","","Global coverage page","","","","11. should allow a user to submit a form with valid data",""
"passed","Thu Nov 23 20:31:53 GMT 2023","Thu Nov 23 20:31:56 GMT 2023","2679","","Integrations page","","","","""before each"" hook for Integrations page",""
"skipped","Thu Nov 23 20:31:52 GMT 2023","Thu Nov 23 20:31:52 GMT 2023","0","","Microsoft Teams page","","","","should NOT allow a user to submit a form with invalid data",""
"skipped","Thu Nov 23 20:31:53 GMT 2023","Thu Nov 23 20:31:53 GMT 2023","1","","Blog article page","","","","should display main elements",""
"skipped","Thu Nov 23 20:31:53 GMT 2023","Thu Nov 23 20:31:53 GMT 2023","0","","Blog page","","","","should allow a user to sort articles",""
"skipped","Thu Nov 23 20:31:52 GMT 2023","Thu Nov 23 20:31:52 GMT 2023","1","","Microsoft Teams page","","","","should allow a user to submit a form with valid data",""
"skipped","Thu Nov 23 20:31:53 GMT 2023","Thu Nov 23 20:31:53 GMT 2023","2","","Blog page","","","","should display pagination",""
