"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Nov 28 17:39:53 GMT 2023","Tue Nov 28 17:40:06 GMT 2023","12811","","IoT Sim Cards page","","","","should allow a user to submit a form with valid data",""
"broken","Tue Nov 28 17:47:20 GMT 2023","Tue Nov 28 17:47:30 GMT 2023","10022","","Support Center page","","","","should NOT find results for an invalid sarch value",""
"broken","Tue Nov 28 17:40:58 GMT 2023","Tue Nov 28 17:41:06 GMT 2023","8719","","Blog page","","","","should NOT find results for an invalid sarch value",""
"broken","Tue Nov 28 17:41:41 GMT 2023","Tue Nov 28 17:41:52 GMT 2023","10976","","Integrations page","","","","should allow a user to use filters",""
"broken","Tue Nov 28 17:50:34 GMT 2023","Tue Nov 28 17:50:45 GMT 2023","11274","","Release Notes page","","","","should allow a user to filter notes",""
"passed","Tue Nov 28 17:42:50 GMT 2023","Tue Nov 28 17:42:52 GMT 2023","2827","","Solutions page","","","","""before each"" hook for Solutions page",""
"passed","Tue Nov 28 17:50:21 GMT 2023","Tue Nov 28 17:50:24 GMT 2023","3317","","Numbers Pricing page","","","","""before each"" hook for Numbers Pricing page",""
"broken","Tue Nov 28 17:43:13 GMT 2023","Tue Nov 28 17:43:23 GMT 2023","9969","","Support Center page","","","","should NOT find results for an invalid sarch value",""
"broken","Tue Nov 28 17:46:54 GMT 2023","Tue Nov 28 17:47:04 GMT 2023","9985","","Solutions page","","","","should allow a user to filter departments",""
"passed","Tue Nov 28 17:41:31 GMT 2023","Tue Nov 28 17:41:32 GMT 2023","543","","Global coverage page","","","","""before each"" hook for Global coverage page",""
"broken","Tue Nov 28 17:49:47 GMT 2023","Tue Nov 28 17:49:58 GMT 2023","11085","","Integrations page","","","","should allow a user to use filters",""
"broken","Tue Nov 28 17:50:56 GMT 2023","Tue Nov 28 17:51:07 GMT 2023","10993","","Solutions page","","","","should allow a user to filter departments",""
"broken","Tue Nov 28 17:40:29 GMT 2023","Tue Nov 28 17:40:40 GMT 2023","11284","","Blog page","","","","should display pagination",""
"passed","Tue Nov 28 17:48:20 GMT 2023","Tue Nov 28 17:48:23 GMT 2023","3058","","Blog article page","","","","""before each"" hook for Blog article page",""
"passed","Tue Nov 28 17:42:15 GMT 2023","Tue Nov 28 17:42:18 GMT 2023","2841","","Numbers Pricing page","","","","""before each"" hook for Numbers Pricing page",""
"passed","Tue Nov 28 17:49:47 GMT 2023","Tue Nov 28 17:49:50 GMT 2023","2948","","Integrations page","","","","""before each"" hook for Integrations page",""
"passed","Tue Nov 28 17:42:39 GMT 2023","Tue Nov 28 17:42:40 GMT 2023","738","","Release Notes page","","","","""before each"" hook for Release Notes page",""
"passed","Tue Nov 28 17:41:08 GMT 2023","Tue Nov 28 17:41:11 GMT 2023","3174","","Customer Stories page","","","","""before each"" hook for Customer Stories page",""
"passed","Tue Nov 28 17:43:13 GMT 2023","Tue Nov 28 17:43:15 GMT 2023","1892","","Support Center page","","","","""before each"" hook for Support Center page",""
"passed","Tue Nov 28 17:47:30 GMT 2023","Tue Nov 28 17:47:32 GMT 2023","1920","","Support Center page","","","","""after each"" hook for Support Center page",""
"broken","Tue Nov 28 17:44:01 GMT 2023","Tue Nov 28 17:44:10 GMT 2023","8953","","IoT Sim Cards page","","","","should NOT allow a user to submit a form with invalid data",""
"broken","Tue Nov 28 17:44:13 GMT 2023","Tue Nov 28 17:44:23 GMT 2023","10343","","Blog article page","","","","should display main elements",""
"broken","Tue Nov 28 17:45:56 GMT 2023","Tue Nov 28 17:46:06 GMT 2023","9980","","Microsoft Teams page","","","","should allow a user to submit a form with valid data",""
"broken","Tue Nov 28 17:42:28 GMT 2023","Tue Nov 28 17:42:39 GMT 2023","11089","","Release Notes page","","","","should allow a user to filter notes",""
"passed","Tue Nov 28 17:51:33 GMT 2023","Tue Nov 28 17:51:36 GMT 2023","3089","","Telnyx Vs TwilioPage page","","","","""before each"" hook for Telnyx Vs TwilioPage page",""
"broken","Tue Nov 28 17:48:10 GMT 2023","Tue Nov 28 17:48:19 GMT 2023","9137","","IoT Sim Cards page","","","","should NOT allow a user to submit a form with invalid data",""
"passed","Tue Nov 28 17:43:23 GMT 2023","Tue Nov 28 17:43:23 GMT 2023","174","","Support Center page","","","","""after each"" hook for Support Center page",""
"broken","Tue Nov 28 17:43:02 GMT 2023","Tue Nov 28 17:43:13 GMT 2023","11032","","Support Center page","","","","should find results for a valid sarch value",""
"broken","Tue Nov 28 17:43:25 GMT 2023","Tue Nov 28 17:43:36 GMT 2023","10980","","Telnyx Vs TwilioPage page","","","","should allow a user to submit a form with valid data",""
"passed","Tue Nov 28 17:50:56 GMT 2023","Tue Nov 28 17:50:59 GMT 2023","2865","","Solutions page","","","","""before each"" hook for Solutions page",""
"broken","Tue Nov 28 17:50:21 GMT 2023","Tue Nov 28 17:50:33 GMT 2023","11414","","Numbers Pricing page","","","","should allow a user to use filters",""
"passed","Tue Nov 28 17:45:31 GMT 2023","Tue Nov 28 17:45:32 GMT 2023","986","","Global coverage page","","","","""before each"" hook for Global coverage page",""
"passed","Tue Nov 28 17:44:01 GMT 2023","Tue Nov 28 17:44:02 GMT 2023","1024","","IoT Sim Cards page","","","","""before each"" hook for IoT Sim Cards page",""
"broken","Tue Nov 28 17:47:58 GMT 2023","Tue Nov 28 17:48:10 GMT 2023","11264","","IoT Sim Cards page","","","","should allow a user to submit a form with valid data",""
"broken","Tue Nov 28 17:51:33 GMT 2023","Tue Nov 28 17:51:44 GMT 2023","11447","","Telnyx Vs TwilioPage page","","","","should allow a user to submit a form with valid data",""
"broken","Tue Nov 28 17:44:55 GMT 2023","Tue Nov 28 17:45:04 GMT 2023","8974","","Blog page","","","","should NOT find results for an invalid sarch value",""
"broken","Tue Nov 28 17:49:26 GMT 2023","Tue Nov 28 17:49:37 GMT 2023","11077","","Global coverage page","","","","should allow a user to submit a form with valid data",""
"passed","Tue Nov 28 17:50:45 GMT 2023","Tue Nov 28 17:50:46 GMT 2023","662","","Release Notes page","","","","""before each"" hook for Release Notes page",""
"broken","Tue Nov 28 17:49:37 GMT 2023","Tue Nov 28 17:49:45 GMT 2023","8913","","Global coverage page","","","","should NOT allow a user to submit a form with invalid data",""
"broken","Tue Nov 28 17:49:02 GMT 2023","Tue Nov 28 17:49:11 GMT 2023","8807","","Blog page","","","","should NOT find results for an invalid sarch value",""
"broken","Tue Nov 28 17:48:33 GMT 2023","Tue Nov 28 17:48:44 GMT 2023","11093","","Blog page","","","","should display pagination",""
