"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","IoT Sim Cards page","","0","2","4","0","0"
"","Microsoft Teams page","","0","2","6","0","0"
"","Blog article page","","0","0","6","0","0"
"","Global coverage page","","0","0","9","0","0"
"","Numbers Pricing page","","0","2","4","0","0"
"","Blog page","","0","2","6","0","0"
"","Integrations page","","0","2","4","0","0"
"","Solutions page","","0","2","4","0","0"
"","Telnyx Vs TwilioPage page","","0","2","4","0","0"
"","Release Notes page","","0","0","9","0","0"
"","Support Center page","","0","2","4","0","0"
