"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 24 15:23:55 GMT 2023","Fri Nov 24 15:24:09 GMT 2023","14104","","Blog page","","","","should display pagination",""
"passed","Fri Nov 24 15:24:09 GMT 2023","Fri Nov 24 15:24:10 GMT 2023","826","","Blog page","","","","""before each"" hook for Blog page",""
"passed","Fri Nov 24 15:24:09 GMT 2023","Fri Nov 24 15:24:23 GMT 2023","13765","","Blog page","","","","should allow a user to sort articles",""
"passed","Fri Nov 24 15:25:03 GMT 2023","Fri Nov 24 15:25:24 GMT 2023","20740","","Microsoft Teams page","","","","should allow a user to submit a form with valid data",""
"passed","Fri Nov 24 15:24:25 GMT 2023","Fri Nov 24 15:24:38 GMT 2023","12974","","Global coverage page","","","","should allow a user to submit a form with valid data",""
"broken","Fri Nov 24 15:22:04 GMT 2023","Fri Nov 24 15:22:06 GMT 2023","2543","","Blog article page","","","","should display main elements",""
"passed","Fri Nov 24 15:20:18 GMT 2023","Fri Nov 24 15:20:19 GMT 2023","1059","","Blog page","","","","""before each"" hook for Blog page",""
"passed","Fri Nov 24 15:21:29 GMT 2023","Fri Nov 24 15:21:30 GMT 2023","1116","","Microsoft Teams page","","","","""before each"" hook for Microsoft Teams page",""
"passed","Fri Nov 24 15:19:49 GMT 2023","Fri Nov 24 15:19:51 GMT 2023","2029","","Blog article page","","","","""before each"" hook for Blog article page",""
"passed","Fri Nov 24 15:25:24 GMT 2023","Fri Nov 24 15:25:25 GMT 2023","1291","","Microsoft Teams page","","","","""before each"" hook for Microsoft Teams page",""
"passed","Fri Nov 24 15:20:57 GMT 2023","Fri Nov 24 15:21:08 GMT 2023","10458","","Integrations page","","","","should allow a user to use filters",""
"passed","Fri Nov 24 15:22:15 GMT 2023","Fri Nov 24 15:22:27 GMT 2023","12358","","Global coverage page","","","","should allow a user to submit a form with valid data",""
"passed","Fri Nov 24 15:24:38 GMT 2023","Fri Nov 24 15:24:48 GMT 2023","10627","","Global coverage page","","","","should NOT allow a user to submit a form with invalid data",""
"broken","Fri Nov 24 15:22:04 GMT 2023","Fri Nov 24 15:22:06 GMT 2023","2542","","Blog article page","","","","""before each"" hook for Blog article page",""
"passed","Fri Nov 24 15:22:27 GMT 2023","Fri Nov 24 15:22:37 GMT 2023","9854","","Global coverage page","","","","should NOT allow a user to submit a form with invalid data",""
"passed","Fri Nov 24 15:24:50 GMT 2023","Fri Nov 24 15:25:02 GMT 2023","11594","","Integrations page","","","","should allow a user to use filters",""
"passed","Fri Nov 24 15:19:49 GMT 2023","Fri Nov 24 15:20:03 GMT 2023","14244","","Blog article page","","","","should display main elements",""
"passed","Fri Nov 24 15:23:00 GMT 2023","Fri Nov 24 15:23:01 GMT 2023","860","","Microsoft Teams page","","","","""before each"" hook for Microsoft Teams page",""
"passed","Fri Nov 24 15:20:57 GMT 2023","Fri Nov 24 15:21:00 GMT 2023","2578","","Integrations page","","","","""before each"" hook for Integrations page",""
"passed","Fri Nov 24 15:23:00 GMT 2023","Fri Nov 24 15:23:27 GMT 2023","27691","","Microsoft Teams page","","","","should NOT allow a user to submit a form with invalid data",""
"broken","Fri Nov 24 15:22:40 GMT 2023","Fri Nov 24 15:22:42 GMT 2023","1763","","Integrations page","","","","""before each"" hook for Integrations page",""
"passed","Fri Nov 24 15:20:18 GMT 2023","Fri Nov 24 15:20:31 GMT 2023","12885","","Blog page","","","","should allow a user to sort articles",""
"passed","Fri Nov 24 15:25:24 GMT 2023","Fri Nov 24 15:25:49 GMT 2023","25312","","Microsoft Teams page","","","","should NOT allow a user to submit a form with invalid data",""
"passed","Fri Nov 24 15:20:05 GMT 2023","Fri Nov 24 15:20:18 GMT 2023","13367","","Blog page","","","","should display pagination",""
"passed","Fri Nov 24 15:21:29 GMT 2023","Fri Nov 24 15:21:54 GMT 2023","24470","","Microsoft Teams page","","","","should NOT allow a user to submit a form with invalid data",""
"passed","Fri Nov 24 15:22:27 GMT 2023","Fri Nov 24 15:22:28 GMT 2023","745","","Global coverage page","","","","""before each"" hook for Global coverage page",""
"broken","Fri Nov 24 15:22:46 GMT 2023","Fri Nov 24 15:23:00 GMT 2023","14033","","Microsoft Teams page","","","","should allow a user to submit a form with valid data",""
"broken","Fri Nov 24 15:22:10 GMT 2023","Fri Nov 24 15:22:11 GMT 2023","1753","","Blog page","","","","""before each"" hook for Blog page",""
"broken","Fri Nov 24 15:22:40 GMT 2023","Fri Nov 24 15:22:42 GMT 2023","1764","","Integrations page","","","","should allow a user to use filters",""
"passed","Fri Nov 24 15:21:09 GMT 2023","Fri Nov 24 15:21:29 GMT 2023","20126","","Microsoft Teams page","","","","should allow a user to submit a form with valid data",""
"passed","Fri Nov 24 15:23:36 GMT 2023","Fri Nov 24 15:23:54 GMT 2023","17227","","Blog article page","","","","should display main elements",""
"passed","Fri Nov 24 15:20:46 GMT 2023","Fri Nov 24 15:20:56 GMT 2023","9695","","Global coverage page","","","","should NOT allow a user to submit a form with invalid data",""
"passed","Fri Nov 24 15:24:50 GMT 2023","Fri Nov 24 15:24:53 GMT 2023","2848","","Integrations page","","","","""before each"" hook for Integrations page",""
"broken","Fri Nov 24 15:22:10 GMT 2023","Fri Nov 24 15:22:11 GMT 2023","1754","","Blog page","","","","should display pagination",""
"passed","Fri Nov 24 15:23:36 GMT 2023","Fri Nov 24 15:23:40 GMT 2023","3572","","Blog article page","","","","""before each"" hook for Blog article page",""
"passed","Fri Nov 24 15:24:38 GMT 2023","Fri Nov 24 15:24:39 GMT 2023","897","","Global coverage page","","","","""before each"" hook for Global coverage page",""
"passed","Fri Nov 24 15:20:33 GMT 2023","Fri Nov 24 15:20:46 GMT 2023","12968","","Global coverage page","","","","should allow a user to submit a form with valid data",""
"passed","Fri Nov 24 15:20:46 GMT 2023","Fri Nov 24 15:20:47 GMT 2023","1031","","Global coverage page","","","","""before each"" hook for Global coverage page",""
