"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 26 06:55:23 GMT 2023","Sun Nov 26 06:55:27 GMT 2023","3903","","IoT Sim Cards page","","","","""before each"" hook for IoT Sim Cards page",""
"passed","Sun Nov 26 06:54:41 GMT 2023","Sun Nov 26 06:55:11 GMT 2023","30496","","Telnyx Vs TwilioPage page","","","","should allow a user to submit a form with valid data",""
"passed","Sun Nov 26 06:46:52 GMT 2023","Sun Nov 26 06:47:07 GMT 2023","14665","","Blog page","","","","should display pagination",""
"passed","Sun Nov 26 06:54:06 GMT 2023","Sun Nov 26 06:54:22 GMT 2023","15850","","Solutions page","","","","should allow a user to filter departments",""
"passed","Sun Nov 26 06:49:52 GMT 2023","Sun Nov 26 06:49:55 GMT 2023","2862","","Support Center page","","","","""before each"" hook for Support Center page",""
"passed","Sun Nov 26 06:56:40 GMT 2023","Sun Nov 26 06:56:41 GMT 2023","810","","Blog page","","","","""before each"" hook for Blog page",""
"passed","Sun Nov 26 06:48:20 GMT 2023","Sun Nov 26 06:48:44 GMT 2023","24342","","Microsoft Teams page","","","","should NOT allow a user to submit a form with invalid data",""
"passed","Sun Nov 26 06:52:23 GMT 2023","Sun Nov 26 06:52:43 GMT 2023","20396","","Microsoft Teams page","","","","should allow a user to submit a form with valid data",""
"passed","Sun Nov 26 06:57:10 GMT 2023","Sun Nov 26 06:57:11 GMT 2023","1313","","Global coverage page","","","","""before each"" hook for Global coverage page",""
"passed","Sun Nov 26 06:48:46 GMT 2023","Sun Nov 26 06:49:04 GMT 2023","17726","","Numbers Pricing page","","","","should allow a user to use filters",""
"passed","Sun Nov 26 06:47:21 GMT 2023","Sun Nov 26 06:47:35 GMT 2023","13779","","Global coverage page","","","","should allow a user to submit a form with valid data",""
"passed","Sun Nov 26 06:59:48 GMT 2023","Sun Nov 26 06:59:52 GMT 2023","3452","","Telnyx Vs TwilioPage page","","","","""before each"" hook for Telnyx Vs TwilioPage page",""
"passed","Sun Nov 26 06:59:34 GMT 2023","Sun Nov 26 06:59:47 GMT 2023","13014","","Support Center page","","","","should allow a user to search the website",""
"passed","Sun Nov 26 06:50:54 GMT 2023","Sun Nov 26 06:50:57 GMT 2023","2329","","Blog article page","","","","""before each"" hook for Blog article page",""
"passed","Sun Nov 26 06:54:06 GMT 2023","Sun Nov 26 06:54:08 GMT 2023","2373","","Solutions page","","","","""before each"" hook for Solutions page",""
"passed","Sun Nov 26 06:49:21 GMT 2023","Sun Nov 26 06:49:33 GMT 2023","11439","","Release Notes page","","","","should display pagination",""
"passed","Sun Nov 26 06:54:25 GMT 2023","Sun Nov 26 06:54:37 GMT 2023","11913","","Support Center page","","","","should allow a user to search the website",""
"passed","Sun Nov 26 06:51:56 GMT 2023","Sun Nov 26 06:52:06 GMT 2023","10537","","Global coverage page","","","","should NOT allow a user to submit a form with invalid data",""
"passed","Sun Nov 26 06:59:15 GMT 2023","Sun Nov 26 06:59:32 GMT 2023","17228","","Solutions page","","","","should allow a user to filter departments",""
"passed","Sun Nov 26 06:56:07 GMT 2023","Sun Nov 26 06:56:10 GMT 2023","3126","","Blog article page","","","","""before each"" hook for Blog article page",""
"passed","Sun Nov 26 06:51:43 GMT 2023","Sun Nov 26 06:51:56 GMT 2023","12932","","Global coverage page","","","","should allow a user to submit a form with valid data",""
"passed","Sun Nov 26 06:51:56 GMT 2023","Sun Nov 26 06:51:57 GMT 2023","1291","","Global coverage page","","","","""before each"" hook for Global coverage page",""
"passed","Sun Nov 26 06:49:52 GMT 2023","Sun Nov 26 06:50:05 GMT 2023","12381","","Support Center page","","","","should allow a user to search the website",""
"passed","Sun Nov 26 06:53:50 GMT 2023","Sun Nov 26 06:53:51 GMT 2023","1008","","Release Notes page","","","","""before each"" hook for Release Notes page",""
